
rp OLSR, nn 60, random seed 12, Received: 162 | Sent: 5980 | Dropped: 5818, PLR: 97.290970%
rp OLSR, nn 60, random seed 13, Received: 139 | Sent: 5980 | Dropped: 5841, PLR: 97.675585%
rp OLSR, nn 60, random seed 14, Received: 108 | Sent: 5980 | Dropped: 5872, PLR: 98.193980%
rp OLSR, nn 60, random seed 15, Received: 59 | Sent: 5980 | Dropped: 5921, PLR: 99.013378%
rp OLSR, nn 60, random seed 16, Received: 115 | Sent: 5980 | Dropped: 5865, PLR: 98.076923%
rp OLSR, nn 60, random seed 17, Received: 252 | Sent: 5980 | Dropped: 5728, PLR: 95.785953%
rp OLSR, nn 60, random seed 18, Received: 325 | Sent: 5980 | Dropped: 5655, PLR: 94.565217%
rp OLSR, nn 60, random seed 19, Received: 171 | Sent: 5980 | Dropped: 5809, PLR: 97.140468%
rp OLSR, nn 60, random seed 20, Received: 281 | Sent: 5980 | Dropped: 5699, PLR: 95.301003%
rp OLSR, nn 60, random seed 21, Received: 109 | Sent: 5980 | Dropped: 5871, PLR: 98.177258%
rp OLSR, nn 60, random seed 22, Received: 135 | Sent: 5980 | Dropped: 5845, PLR: 97.742475%
rp OLSR, nn 60, random seed 23, Received: 186 | Sent: 5980 | Dropped: 5794, PLR: 96.889632%
rp OLSR, nn 60, random seed 24, Received: 97 | Sent: 5980 | Dropped: 5883, PLR: 98.377926%
rp OLSR, nn 60, random seed 25, Received: 234 | Sent: 5980 | Dropped: 5746, PLR: 96.086957%
rp OLSR, nn 60, random seed 26, Received: 169 | Sent: 5980 | Dropped: 5811, PLR: 97.173913%
rp OLSR, nn 60, random seed 27, Received: 131 | Sent: 5980 | Dropped: 5849, PLR: 97.809365%
rp OLSR, nn 60, random seed 28, Received: 266 | Sent: 5980 | Dropped: 5714, PLR: 95.551839%
rp OLSR, nn 60, random seed 29, Received: 161 | Sent: 5980 | Dropped: 5819, PLR: 97.307692%
rp OLSR, nn 60, random seed 30, Received: 71 | Sent: 5980 | Dropped: 5909, PLR: 98.812709%
rp OLSR, nn 70, random seed 1, Received: 68 | Sent: 5980 | Dropped: 5912, PLR: 98.862876%
rp OLSR, nn 70, random seed 2, Received: 73 | Sent: 5980 | Dropped: 5907, PLR: 98.779264%
rp OLSR, nn 70, random seed 3, Received: 29 | Sent: 5980 | Dropped: 5951, PLR: 99.515050%
rp OLSR, nn 70, random seed 4, Received: 179 | Sent: 5980 | Dropped: 5801, PLR: 97.006689%
rp OLSR, nn 70, random seed 5, Received: 140 | Sent: 5980 | Dropped: 5840, PLR: 97.658863%
rp OLSR, nn 70, random seed 6, Received: 280 | Sent: 5980 | Dropped: 5700, PLR: 95.317726%
rp OLSR, nn 70, random seed 7, Received: 166 | Sent: 5980 | Dropped: 5814, PLR: 97.224080%
rp OLSR, nn 70, random seed 8, Received: 86 | Sent: 5980 | Dropped: 5894, PLR: 98.561873%
rp OLSR, nn 70, random seed 9, Received: 189 | Sent: 5980 | Dropped: 5791, PLR: 96.839465%
rp OLSR, nn 70, random seed 10, Received: 96 | Sent: 5980 | Dropped: 5884, PLR: 98.394649%
rp OLSR, nn 70, random seed 11, Received: 78 | Sent: 5980 | Dropped: 5902, PLR: 98.695652%
rp OLSR, nn 70, random seed 12, Received: 240 | Sent: 5980 | Dropped: 5740, PLR: 95.986622%
rp OLSR, nn 70, random seed 13, Received: 104 | Sent: 5980 | Dropped: 5876, PLR: 98.260870%
rp OLSR, nn 70, random seed 14, Received: 151 | Sent: 5980 | Dropped: 5829, PLR: 97.474916%
rp OLSR, nn 70, random seed 15, Received: 100 | Sent: 5980 | Dropped: 5880, PLR: 98.327759%
rp OLSR, nn 70, random seed 16, Received: 129 | Sent: 5980 | Dropped: 5851, PLR: 97.842809%
rp OLSR, nn 70, random seed 17, Received: 57 | Sent: 5980 | Dropped: 5923, PLR: 99.046823%
rp OLSR, nn 70, random seed 18, Received: 90 | Sent: 5980 | Dropped: 5890, PLR: 98.494983%
rp OLSR, nn 70, random seed 19, Received: 135 | Sent: 5980 | Dropped: 5845, PLR: 97.742475%
rp OLSR, nn 70, random seed 20, Received: 91 | Sent: 5980 | Dropped: 5889, PLR: 98.478261%
rp OLSR, nn 70, random seed 21, Received: 108 | Sent: 5980 | Dropped: 5872, PLR: 98.193980%
rp OLSR, nn 70, random seed 22, Received: 35 | Sent: 5980 | Dropped: 5945, PLR: 99.414716%
rp OLSR, nn 70, random seed 23, Received: 159 | Sent: 5980 | Dropped: 5821, PLR: 97.341137%
rp OLSR, nn 70, random seed 24, Received: 211 | Sent: 5980 | Dropped: 5769, PLR: 96.471572%
rp OLSR, nn 70, random seed 25, Received: 67 | Sent: 5980 | Dropped: 5913, PLR: 98.879599%
rp OLSR, nn 70, random seed 26, Received: 52 | Sent: 5980 | Dropped: 5928, PLR: 99.130435%
rp OLSR, nn 70, random seed 27, Received: 194 | Sent: 5980 | Dropped: 5786, PLR: 96.755853%
rp OLSR, nn 70, random seed 28, Received: 222 | Sent: 5980 | Dropped: 5758, PLR: 96.287625%
rp OLSR, nn 70, random seed 29, Received: 348 | Sent: 5980 | Dropped: 5632, PLR: 94.180602%
rp OLSR, nn 70, random seed 30, Received: 129 | Sent: 5980 | Dropped: 5851, PLR: 97.842809%
rp OLSR, nn 80, random seed 1, Received: 55 | Sent: 5980 | Dropped: 5925, PLR: 99.080268%
rp OLSR, nn 80, random seed 2, Received: 13 | Sent: 5980 | Dropped: 5967, PLR: 99.782609%
rp OLSR, nn 80, random seed 3, Received: 1 | Sent: 5980 | Dropped: 5979, PLR: 99.983278%
rp OLSR, nn 80, random seed 4, Received: 23 | Sent: 5980 | Dropped: 5957, PLR: 99.615385%
rp OLSR, nn 80, random seed 5, Received: 48 | Sent: 5980 | Dropped: 5932, PLR: 99.197324%
rp OLSR, nn 80, random seed 6, Received: 17 | Sent: 5980 | Dropped: 5963, PLR: 99.715719%
rp OLSR, nn 80, random seed 7, Received: 20 | Sent: 5980 | Dropped: 5960, PLR: 99.665552%
rp OLSR, nn 80, random seed 8, Received: 14 | Sent: 5980 | Dropped: 5966, PLR: 99.765886%
rp OLSR, nn 80, random seed 9, Received: 31 | Sent: 5980 | Dropped: 5949, PLR: 99.481605%
rp OLSR, nn 80, random seed 10, Received: 38 | Sent: 5980 | Dropped: 5942, PLR: 99.364548%
rp OLSR, nn 80, random seed 11, Received: 14 | Sent: 5980 | Dropped: 5966, PLR: 99.765886%
rp OLSR, nn 80, random seed 12, Received: 38 | Sent: 5980 | Dropped: 5942, PLR: 99.364548%
rp OLSR, nn 80, random seed 13, Received: 8 | Sent: 5126 | Dropped: 5118, PLR: 99.843933%
rp OLSR, nn 80, random seed 14, Received: 0 | Sent: 5168 | Dropped: 5168, PLR: 100.000000%
rp OLSR, nn 80, random seed 15, Received: 4 | Sent: 5127 | Dropped: 5123, PLR: 99.921982%
rp OLSR, nn 80, random seed 16, Received: 16 | Sent: 5188 | Dropped: 5172, PLR: 99.691596%
rp OLSR, nn 80, random seed 17, Received: 11 | Sent: 5126 | Dropped: 5115, PLR: 99.785408%
rp OLSR, nn 80, random seed 18, Received: 13 | Sent: 5080 | Dropped: 5067, PLR: 99.744094%
rp OLSR, nn 80, random seed 19, Received: 1 | Sent: 3430 | Dropped: 3429, PLR: 99.970845%
rp OLSR, nn 80, random seed 20, Received: 0 | Sent: 3430 | Dropped: 3430, PLR: 100.000000%
rp OLSR, nn 80, random seed 21, Received: 13 | Sent: 3410 | Dropped: 3397, PLR: 99.618768%
rp OLSR, nn 80, random seed 22, Received: 10 | Sent: 3446 | Dropped: 3436, PLR: 99.709808%
rp OLSR, nn 80, random seed 23, Received: 5 | Sent: 3417 | Dropped: 3412, PLR: 99.853673%
rp OLSR, nn 80, random seed 24, Received: 3 | Sent: 3309 | Dropped: 3306, PLR: 99.909338%
rp AODV, nn 20, random seed 1, Received: 5761 | Sent: 5980 | Dropped: 219, PLR: 3.662207%
rp DSDV, nn 20, random seed 1, Received: 1524 | Sent: 5980 | Dropped: 4456, PLR: 74.515050%
rp DSR, nn 20, random seed 1, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 2, Received: 5481 | Sent: 5980 | Dropped: 499, PLR: 8.344482%
rp DSDV, nn 20, random seed 2, Received: 552 | Sent: 5980 | Dropped: 5428, PLR: 90.769231%
rp DSR, nn 20, random seed 2, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 3, Received: 5427 | Sent: 5980 | Dropped: 553, PLR: 9.247492%
rp DSDV, nn 20, random seed 3, Received: 1061 | Sent: 5980 | Dropped: 4919, PLR: 82.257525%
rp DSR, nn 20, random seed 3, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 4, Received: 5481 | Sent: 5980 | Dropped: 499, PLR: 8.344482%
rp DSDV, nn 20, random seed 4, Received: 815 | Sent: 5980 | Dropped: 5165, PLR: 86.371237%
rp DSR, nn 20, random seed 4, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 5, Received: 5707 | Sent: 5980 | Dropped: 273, PLR: 4.565217%
rp DSDV, nn 20, random seed 5, Received: 1694 | Sent: 5980 | Dropped: 4286, PLR: 71.672241%
rp DSR, nn 20, random seed 5, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 6, Received: 5653 | Sent: 5980 | Dropped: 327, PLR: 5.468227%
rp DSDV, nn 20, random seed 6, Received: 1553 | Sent: 5980 | Dropped: 4427, PLR: 74.030100%
rp DSR, nn 20, random seed 6, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 7, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp DSDV, nn 20, random seed 7, Received: 690 | Sent: 5980 | Dropped: 5290, PLR: 88.461538%
rp DSR, nn 20, random seed 7, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 8, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp DSDV, nn 20, random seed 8, Received: 842 | Sent: 5980 | Dropped: 5138, PLR: 85.919732%
rp DSR, nn 20, random seed 8, Received: 5980 | Sent: 5980 | Dropped: 0, PLR: 0.000000%
rp AODV, nn 20, random seed 9, Received: 5743 | Sent: 5980 | Dropped: 237, PLR: 3.963211%
rp DSDV, nn 20, random seed 9, Received: 1182 | Sent: 5980 | Dropped: 4798, PLR: 80.234114%
